id	valve_module_part_number	valve_module_revision_number	pcb_article_number	pcb_revision	pcb_manufacturing_year	pcb_manufacturing_week	pcb_serial	idle_current_24v	idle_current_3v	solenoid1_current	solenoid2_current	solenoid3_current	solenoid4_current	solenoid5_current	solenoid6_current	solenoid7_current	solenoid8_current	test_date	test_person_id
48	133398	F	1121130	02	24	14	1986	9	2	408	441	446	447	462	450	482	454	2023-03-17 00:00	Ylva
49	133398	F	1121130	01	23	39	3573	6	1	429	391	490	442	400	415	420	409	2023-05-21 00:00	Ylva
50	133398	F	1121130	01	22	37	0915	5	4	438	423	483	432	437	412	471	449	2023-03-22 00:00	Ylva
51	133398	F	1121130	01	22	40	0124	3	3	400	406	460	390	422	408	447	407	2023-02-23 00:00	Ylva
52	133398	F	1121130	02	24	47	1925	11	2	394	455	477	412	458	404	421	406	2023-02-01 00:00	Ylva
53	133398	F	1121130	02	24	14	2290	9	3	468	475	487	398	439	500	390	461	2023-03-12 00:00	Ylva
54	133398	F	1121130	02	24	17	2914	7	1	407	466	486	480	497	390	411	428	2023-06-11 00:00	Ylva
55	133398	F	1121130	02	23	37	0408	5	1	398	439	444	467	476	497	422	462	2023-05-12 00:00	Ylva
56	133604	G	1121130	01	24	21	3932	3	2	394	398	455	499	400	417	417	482	2022-12-10 00:00	Mathias
57	133604	G	1121130	02	24	06	1618	5	1	392	398	417	438	460	434	493	473	2023-01-18 00:00	Mathias
58	133604	G	1121130	01	22	27	1663	6	2	493	459	449	404	442	442	443	479	2023-06-08 00:00	Mathias
59	133604	G	1121130	01	22	02	1401	4	1	431	485	500	426	413	441	472	462	2023-05-30 00:00	Mathias
60	133604	G	1121130	02	22	03	2040	11	2	460	402	418	468	421	399	456	467	2023-04-27 00:00	Mathias
61	133604	G	1121130	01	24	46	3084	8	4	430	467	455	402	397	483	451	391	2023-02-21 00:00	Mathias
62	133604	G	1121130	02	24	38	3223	11	2	454	492	427	402	498	419	496	464	2023-03-29 00:00	Mathias
63	133604	G	1121130	02	22	19	1469	5	1	429	498	460	466	465	475	404	398	2023-04-05 00:00	Mathias
64	133604	G	1121130	01	24	24	2490	4	2	464	438	434	403	403	418	490	484	2023-04-22 00:00	Mathias
65	133604	G	1121130	01	24	22	2835	4	4	418	467	461	410	456	456	465	407	2023-02-10 00:00	Mathias
66	133604	G	1121130	01	23	37	1618	5	3	427	394	396	469	460	453	471	431	2023-05-30 00:00	Mathias
67	133604	G	1121130	02	23	05	1008	3	1	445	394	400	446	392	452	410	475	2023-06-02 00:00	Mathias
68	133604	G	1121130	01	24	24	0001	4	2	409	494	474	397	466	497	405	419	2023-03-08 00:00	Mathias
69	133604	G	1121130	01	24	30	2727	4	4	428	481	467	407	494	399	457	440	2023-02-11 00:00	Mathias
70	133604	G	1121130	02	24	45	2902	4	3	492	476	440	467	487	487	452	413	2023-01-27 00:00	Mathias
71	133604	G	1121130	02	23	08	1648	8	1	500	434	434	432	426	473	437	444	2023-06-10 00:00	Mathias
72	133604	G	1121130	02	23	19	0662	3	1	409	414	406	448	412	497	476	467	2023-02-06 00:00	Mathias
73	133604	G	1121130	02	22	16	3839	9	4	496	440	472	473	458	489	432	397	2023-03-06 00:00	Mathias
74	133604	G	1121130	02	22	08	3399	8	3	432	454	453	396	411	399	472	405	2023-06-20 00:00	Mathias
75	133604	G	1121130	01	24	48	2668	7	3	407	471	487	390	479	488	420	456	2023-05-24 00:00	Mathias
76	133604	G	1121130	01	22	18	0673	8	4	441	426	422	447	473	394	480	469	2022-12-23 00:00	Mathias
77	133604	G	1121130	01	23	03	1849	8	4	494	459	418	459	495	475	499	434	2023-01-08 00:00	Mathias
78	133604	G	1121130	01	22	25	3996	5	3	487	424	434	424	473	467	452	427	2023-04-26 00:00	Mathias
79	133605	E	1121130	02	24	44	3684	8	3	471	448	497	428	400	486	463	396	2023-01-15 00:00	Mats
80	133605	E	1121130	01	24	21	2110	10	1	397	476	499	482	445	474	497	398	2023-06-06 00:00	Mats
81	133605	E	1121130	01	23	41	0779	8	2	467	437	415	455	403	482	413	407	2023-03-20 00:00	Mats
82	133605	E	1121130	02	24	06	0353	11	3	465	419	409	476	448	401	462	440	2023-06-05 00:00	Mats
83	133605	E	1121130	02	22	11	1960	11	2	436	438	411	439	392	466	414	411	2023-01-16 00:00	Mats
84	133605	E	1121130	01	24	18	2626	7	1	420	421	396	473	468	457	439	398	2022-12-17 00:00	Mats
85	133605	E	1121130	02	22	26	1655	11	2	423	405	392	459	399	403	444	486	2023-01-16 00:00	Mats
86	133605	E	1121130	01	22	27	2360	4	1	448	499	410	407	493	461	445	430	2023-06-01 00:00	Mats
87	133605	E	1121130	01	24	14	0714	11	3	408	471	495	480	477	458	431	417	2023-01-03 00:00	Mats
88	133605	E	1121130	02	22	20	3637	9	3	459	484	457	497	411	406	477	427	2023-04-05 00:00	Mats
89	133605	E	1121130	02	23	17	2872	10	4	436	472	448	395	489	400	480	401	2023-03-20 00:00	Mats
90	133605	E	1121130	02	23	35	2300	3	3	494	440	432	491	479	406	478	421	2023-06-14 00:00	Mats
91	133605	E	1121130	01	23	08	1474	11	2	476	440	460	470	433	452	400	430	2023-03-23 00:00	Mats
92	133605	E	1121130	02	23	35	3026	10	1	500	474	393	400	448	392	447	463	2023-06-14 00:00	Mats
93	133605	E	1121130	02	23	01	2027	6	1	408	431	392	434	464	493	403	483	2023-01-15 00:00	Mats
94	133605	E	1121130	02	23	18	1680	5	2	391	405	423	484	453	471	485	424	2022-12-16 00:00	Mats
95	133605	E	1121130	02	22	24	3008	5	4	464	485	414	479	393	461	393	429	2023-06-10 00:00	Mats
96	133605	E	1121130	01	22	01	1434	4	4	444	431	454	424	441	465	397	416	2023-05-14 00:00	Mats
97	133605	E	1121130	01	23	06	3694	3	1	491	495	405	434	414	487	478	438	2022-12-11 00:00	Mats
98	133605	E	1121130	01	22	04	2365	3	3	494	488	442	401	453	470	449	411	2023-02-10 00:00	Mats
99	133605	E	1121130	02	23	27	1665	11	1	396	487	442	449	390	428	461	462	2023-01-16 00:00	Mats
100	133605	E	1121130	01	23	04	1083	3	4	396	421	407	487	461	498	493	409	2023-05-05 00:00	Mats
101	133605	E	1121130	02	24	38	0472	5	4	466	424	399	447	409	439	423	399	2023-04-22 00:00	Mats
102	133605	E	1121130	01	24	48	0087	10	1	407	435	438	405	399	494	412	487	2023-06-06 00:00	Mats
103	133606	E	1121130	02	22	52	0283	7	1	492	426	457	437	419	485	477	399	2023-01-18 00:00	Shirly
104	133606	E	1121130	01	24	50	0523	10	3	424	478	478	402	418	440	395	419	2023-01-09 00:00	Shirly
105	133606	E	1121130	02	22	09	2437	3	3	390	470	500	444	429	394	415	476	2022-12-28 00:00	Shirly
106	133606	E	1121130	02	23	21	2834	8	4	500	487	465	480	441	489	459	452	2023-04-19 00:00	Shirly
107	133606	E	1121130	01	24	37	3963	4	3	481	433	495	489	391	492	408	440	2023-05-05 00:00	Shirly
108	133606	E	1121130	02	23	10	1598	11	2	495	411	496	435	446	459	455	490	2023-03-16 00:00	Shirly
109	133606	E	1121130	02	22	02	0840	8	2	415	424	451	473	433	464	454	415	2023-06-23 00:00	Shirly
110	133606	E	1121130	02	23	47	2062	11	1	472	392	482	429	474	434	461	397	2022-12-26 00:00	Shirly
111	133606	E	1121130	02	24	11	0136	3	4	403	415	478	429	443	411	415	398	2022-12-06 00:00	Shirly
112	133606	E	1121130	01	24	23	0116	7	1	458	425	454	469	395	453	464	449	2023-03-29 00:00	Shirly
113	133606	E	1121130	01	22	30	3917	9	1	415	429	462	413	443	417	404	433	2023-04-06 00:00	Shirly
114	133606	E	1121130	02	23	21	2380	10	1	441	468	426	452	452	423	429	437	2023-04-10 00:00	Shirly
115	133606	E	1121130	02	24	20	3277	3	4	430	487	478	415	474	479	494	395	2023-03-13 00:00	Shirly
116	133606	E	1121130	01	23	45	2887	10	1	497	469	448	489	450	487	491	454	2022-12-17 00:00	Shirly
117	133606	E	1121130	02	22	37	2558	7	1	476	442	405	424	448	456	462	461	2023-03-31 00:00	Shirly
118	133606	E	1121130	01	24	15	2402	7	4	448	469	484	414	489	442	457	400	2023-06-19 00:00	Shirly
119	133606	E	1121130	01	22	21	3316	10	3	390	455	396	435	404	482	426	414	2022-12-14 00:00	Shirly
120	133606	E	1121130	01	23	07	2139	5	1	397	399	437	490	497	489	432	498	2023-03-14 00:00	Shirly
121	133606	E	1121130	02	24	48	1500	6	1	409	477	499	436	499	457	464	403	2023-01-03 00:00	Shirly
122	133606	E	1121130	01	23	03	0245	4	1	487	438	433	435	497	441	449	439	2023-06-12 00:00	Shirly
123	133606	E	1121130	02	23	31	3266	8	2	462	449	400	435	435	500	432	494	2023-03-29 00:00	Shirly
124	133606	E	1121130	02	23	07	2890	4	4	472	471	441	491	411	441	475	452	2023-01-11 00:00	Shirly
125	133606	E	1121130	01	24	10	1973	8	2	454	475	442	488	408	398	415	397	2023-06-11 00:00	Shirly
126	133606	E	1121130	02	23	03	0047	8	3	459	414	393	398	460	417	393	448	2022-12-12 00:00	Shirly
127	133607	E	1121130	02	24	50	1325	3	1	429	470	447	469	445	433	398	407	2022-12-23 00:00	Theo
128	133607	E	1121130	01	23	49	3929	7	1	465	417	499	406	463	394	416	460	2022-12-12 00:00	Theo
129	133607	E	1121130	01	24	14	2259	4	4	475	452	467	406	480	482	459	396	2023-02-08 00:00	Theo
130	133607	E	1121130	02	23	26	1229	6	4	404	393	478	449	448	432	482	436	2023-03-05 00:00	Theo
131	133607	E	1121130	02	23	24	1738	10	1	400	433	420	398	417	452	480	467	2022-12-11 00:00	Theo
132	133607	E	1121130	01	22	26	0065	11	3	460	453	429	493	404	433	403	456	2022-12-26 00:00	Theo
133	133607	E	1121130	01	24	43	0321	8	1	405	472	445	421	413	499	413	458	2023-01-24 00:00	Theo
134	133607	E	1121130	02	22	22	3526	4	4	476	457	488	433	399	443	440	449	2023-01-08 00:00	Theo
135	133607	E	1121130	02	23	35	1833	8	3	496	473	476	395	397	449	456	452	2023-01-14 00:00	Theo
136	133607	E	1121130	01	23	41	0202	5	3	499	489	421	392	469	424	484	471	2023-01-27 00:00	Theo
137	133607	E	1121130	02	22	27	1346	4	2	464	492	478	410	458	409	457	422	2022-12-20 00:00	Theo
138	133607	E	1121130	01	23	41	1879	5	4	409	456	455	489	477	459	496	435	2023-03-29 00:00	Theo
139	133607	E	1121130	02	22	37	3207	11	2	469	446	481	447	421	425	399	433	2023-04-10 00:00	Theo
140	133607	E	1121130	01	22	49	1297	8	2	400	480	498	435	485	390	421	462	2023-01-27 00:00	Theo
141	133607	E	1121130	02	24	33	3984	9	3	412	492	465	494	393	454	425	426	2023-05-04 00:00	Theo
142	133607	E	1121130	02	24	43	1938	3	4	451	418	437	415	423	433	444	415	2023-01-10 00:00	Theo
143	133607	E	1121130	01	24	04	2446	10	2	473	432	479	430	442	488	443	500	2023-01-18 00:00	Theo
144	133607	E	1121130	02	24	52	3684	11	4	459	390	455	495	462	473	420	476	2023-02-04 00:00	Theo
145	133607	E	1121130	01	24	42	3326	10	1	472	420	435	488	493	483	469	465	2023-02-21 00:00	Theo
146	133607	E	1121130	02	22	24	0440	11	4	467	487	487	462	464	493	415	473	2023-01-22 00:00	Theo
147	133607	E	1121130	02	22	09	2456	4	1	460	457	427	436	409	390	434	445	2023-06-13 00:00	Theo
148	133607	E	1121130	02	23	16	1786	8	1	442	438	410	441	421	480	404	470	2022-12-10 00:00	Theo
149	133607	E	1121130	01	23	27	3176	11	3	394	492	424	481	437	422	402	454	2023-04-16 00:00	Theo
150	133607	E	1121130	01	23	32	1393	9	4	476	454	430	457	492	489	474	407	2023-03-01 00:00	Theo
151	133607	E	1121130	02	23	38	3978	8	2	392	429	490	438	404	427	437	477	2022-12-09 00:00	Theo
152	133608	D	1121130	01	22	19	0781	3	1	427	399	480	472	490	472	401	425	2023-06-08 00:00	Michael
153	133608	D	1121130	01	22	13	2830	11	4	398	487	392	467	467	422	420	459	2023-04-04 00:00	Michael
154	133608	D	1121130	01	22	26	1336	7	4	498	467	434	454	418	429	421	408	2023-01-17 00:00	Michael
155	133608	D	1121130	02	24	28	0081	5	4	454	483	421	460	415	435	410	443	2023-01-12 00:00	Michael
156	133608	D	1121130	02	23	15	3258	4	2	470	419	489	474	442	486	402	485	2022-12-28 00:00	Michael
157	133608	D	1121130	02	24	34	2776	7	3	410	436	487	418	462	490	476	397	2023-06-19 00:00	Michael
158	133608	D	1121130	02	22	02	0685	7	2	402	438	463	445	445	486	398	500	2023-02-26 00:00	Michael
159	133608	D	1121130	01	22	14	3005	6	4	391	475	439	488	499	447	415	424	2023-06-20 00:00	Michael
160	133608	D	1121130	02	23	05	2494	5	4	495	400	487	417	486	426	402	448	2023-03-09 00:00	Michael
161	133608	D	1121130	01	24	04	3918	8	3	391	441	452	454	490	407	450	422	2023-03-21 00:00	Michael
162	133608	D	1121130	02	23	43	2541	4	4	411	430	423	423	409	418	485	482	2023-05-31 00:00	Michael
163	133608	D	1121130	01	22	48	0308	6	1	413	438	438	500	420	465	487	403	2023-05-20 00:00	Michael
164	133608	D	1121130	01	24	34	3882	11	3	461	448	391	433	443	471	412	403	2023-06-14 00:00	Michael
165	133608	D	1121130	02	24	05	3051	3	4	435	499	455	471	442	403	411	436	2023-03-26 00:00	Michael
166	133608	D	1121130	01	24	15	3675	7	4	458	472	431	407	465	397	411	455	2023-06-02 00:00	Michael
167	133608	D	1121130	02	23	52	2842	4	2	474	476	432	423	469	423	390	422	2023-05-26 00:00	Michael
168	133608	D	1121130	01	23	02	3310	11	3	395	456	390	432	497	496	412	437	2023-05-11 00:00	Michael
169	133608	D	1121130	02	22	18	0446	4	3	409	447	436	404	462	495	421	476	2023-04-07 00:00	Michael
170	133608	D	1121130	02	23	44	1306	7	2	417	442	470	434	487	407	394	390	2023-05-03 00:00	Michael
171	133608	D	1121130	01	23	36	1021	10	4	429	420	448	477	435	436	440	452	2023-01-31 00:00	Michael
172	133608	D	1121130	01	24	15	0383	9	1	432	484	475	390	458	436	460	430	2023-01-20 00:00	Michael
173	133608	D	1121130	01	22	15	3032	10	3	470	500	478	423	472	433	403	428	2023-05-29 00:00	Michael
174	133612	E	1121130	02	22	27	1191	3	3	479	482	500	452	454	411	405	495	2023-01-28 00:00	Mats
175	133612	E	1121130	02	22	51	0907	9	4	445	475	421	451	418	488	456	392	2022-12-31 00:00	Mats
176	133612	E	1121130	02	22	08	0519	6	1	407	446	404	500	459	399	476	476	2023-04-01 00:00	Mats
177	133612	E	1121130	01	22	34	1766	6	2	440	491	491	394	418	475	402	446	2023-04-04 00:00	Mats
178	133612	E	1121130	02	23	07	0662	6	1	417	458	429	457	416	394	411	444	2023-06-10 00:00	Mats
179	133612	E	1121130	01	24	38	3132	4	2	465	466	447	428	427	462	486	484	2022-12-26 00:00	Mats
180	133612	E	1121130	02	23	43	1360	5	4	493	470	495	483	492	393	489	397	2023-04-25 00:00	Mats
181	133612	E	1121130	02	22	04	2456	7	4	494	467	452	489	495	455	430	410	2023-06-09 00:00	Mats
182	133612	E	1121130	01	23	31	0442	11	1	435	480	477	465	405	450	474	406	2023-03-07 00:00	Mats
183	133612	E	1121130	02	23	47	1209	6	3	466	476	405	447	497	496	394	400	2023-05-10 00:00	Mats
184	133612	E	1121130	01	24	42	2853	9	4	404	407	491	481	477	464	418	444	2023-02-23 00:00	Mats
185	133612	E	1121130	01	24	04	3234	5	4	393	417	498	499	460	485	461	404	2023-02-13 00:00	Mats
186	133612	E	1121130	01	22	41	1988	11	1	412	418	467	452	449	498	423	418	2022-12-28 00:00	Mats
187	133612	E	1121130	02	24	16	2776	10	3	481	402	438	490	445	445	419	408	2022-12-08 00:00	Mats
188	133612	E	1121130	02	22	43	0473	5	4	490	421	405	394	475	405	408	394	2023-01-27 00:00	Mats
189	133612	E	1121130	02	23	24	3028	8	2	403	413	476	460	422	474	401	448	2023-03-25 00:00	Mats
190	133612	E	1121130	01	24	31	1048	7	3	444	462	490	458	434	392	466	417	2023-01-05 00:00	Mats
191	133612	E	1121130	02	24	48	0788	5	3	484	417	455	416	390	487	425	408	2023-04-21 00:00	Mats
192	133612	E	1121130	01	23	10	3819	8	3	454	454	403	452	467	464	470	433	2023-02-21 00:00	Mats
193	133612	E	1121130	02	22	26	3976	9	1	453	470	436	442	428	480	465	490	2022-12-08 00:00	Mats
194	133612	E	1121130	01	22	33	2943	5	3	429	400	473	399	419	446	457	406	2023-02-08 00:00	Mats
195	133612	E	1121130	02	22	41	3943	5	3	400	430	424	494	406	431	485	416	2023-04-19 00:00	Mats
196	133613	H	1121130	02	23	29	1792	11	3	493	405	456	437	408	401	494	466	2023-04-19 00:00	Ylva
197	133613	H	1121130	02	23	24	3076	6	3	453	486	458	434	490	475	453	428	2023-04-09 00:00	Ylva
198	133613	H	1121130	02	22	40	0057	4	2	471	427	438	479	476	413	409	456	2022-12-15 00:00	Ylva
199	133613	H	1121130	02	24	18	2367	5	1	475	404	398	441	484	452	392	489	2023-05-25 00:00	Ylva
200	133613	H	1121130	01	23	21	1139	7	1	451	394	494	463	463	404	444	471	2023-04-17 00:00	Ylva
201	133613	H	1121130	02	22	11	2383	6	3	421	406	395	403	426	410	400	413	2023-04-10 00:00	Ylva
202	133613	H	1121130	01	24	11	2451	5	4	487	429	430	448	495	496	448	396	2023-02-16 00:00	Ylva
203	133613	H	1121130	02	22	34	3379	11	1	404	478	397	453	461	397	416	431	2023-06-20 00:00	Ylva
204	133613	H	1121130	01	23	50	3570	4	2	494	490	467	416	481	425	419	458	2023-04-10 00:00	Ylva
205	133613	H	1121130	01	23	26	0543	7	3	460	497	394	393	491	497	472	420	2023-03-22 00:00	Ylva
206	133613	H	1121130	01	23	17	0691	11	2	492	496	496	463	458	469	490	493	2023-03-22 00:00	Ylva
207	133613	H	1121130	01	24	23	0581	5	2	482	414	442	476	424	437	430	393	2023-04-24 00:00	Ylva
208	133613	H	1121130	01	24	31	0391	8	2	420	419	486	462	457	460	413	419	2023-06-04 00:00	Ylva
209	133613	H	1121130	02	23	02	0400	8	3	419	477	442	406	420	434	466	478	2023-04-04 00:00	Ylva
210	133613	H	1121130	01	23	38	1056	9	2	407	458	417	405	394	419	438	477	2023-06-19 00:00	Ylva
211	133613	H	1121130	02	24	18	1261	10	1	479	473	441	440	419	438	430	402	2023-03-30 00:00	Ylva
212	133613	H	1121130	02	24	43	0103	9	1	450	474	463	494	443	465	440	491	2023-01-22 00:00	Ylva
213	133613	H	1121130	01	22	15	2538	9	2	447	420	470	446	465	435	426	498	2023-05-10 00:00	Ylva
214	133613	H	1121130	01	22	10	2340	6	4	392	497	390	447	491	487	445	460	2023-03-12 00:00	Ylva
215	133613	H	1121130	02	24	37	3638	5	3	473	476	489	450	395	475	449	461	2023-02-19 00:00	Ylva
216	133613	H	1121130	02	22	26	0057	5	4	406	448	451	497	408	465	403	468	2023-05-21 00:00	Ylva
217	133613	H	1121130	02	23	32	3426	10	4	431	491	477	438	404	437	408	396	2023-02-20 00:00	Ylva
218	133613	H	1121130	02	23	31	2627	9	2	482	395	457	427	435	400	452	413	2023-06-02 00:00	Ylva
219	133613	H	1121130	02	24	51	0429	11	1	438	418	473	489	407	467	498	412	2023-05-04 00:00	Ylva
220	133613	H	1121130	02	23	34	0211	8	4	393	499	430	491	479	472	428	396	2023-01-10 00:00	Ylva
221	133398	F	1121130	01	24	17	0123	7	1	422	0	412	0	428	390	437	426	2024-03-20 15:48	Mats
222	133604	G	1121130	01	23	15	4453	8	1	0	440	432	420	395	403	449	424	2024-03-20 16:10	Ylva
223	133605	E	1121130	01	23	12	1232	4	2	396	422	0	433	0	410	419	391	2024-03-20 16:31	Mathias
224	133606	E	1121130	01	23	11	4578	3	3	432	399	419	0	0	406	0	431	2024-03-20 16:31	Mathias
225	133607	E	1121130	02	24	52	1235	5	1	0	404	396	432	422	438	437	422	2024-03-20 16:32	Mats
226	133613	H	1121130	02	23	47	0033	11	3	440	396	405	421	442	412	0	423	2024-03-20 16:32	Michael
